编号,品牌A,品牌B或合作方,年份与关键节点,主要市场,合作类型,最终产物,公开结果（事实）,结果分类,证据性质,结果观测窗口,可借鉴机制或失败解释（分析）,风险与不可直接照搬之处（分析）,仍缺少的证据,重点调研维度,来源1,来源2,核验日期
C01,瑞幸,贵州茅台,2023推出；2024主题店,中国,品牌×品牌／原料与品牌,酱香拿铁、联名杯袋与主题店,瑞幸披露首日542万杯、销售额超1亿元；截至2023年底4583万杯、超9亿元。,销售表现有据,A｜品牌/企业原始披露,2023首日与年末累计,昂贵品牌符号转成低门槛、可体验的日常商品；原料参与，不止包装贴标。,销售规模不等于利润；须另查复购、酒精相关告知与双方收益分配。,项目利润、净新增客户、对茅台主营的可归因提升,用户动机；价格；产品；增量,https://investor.lkcoffee.com/news-releases/news-release-details/luckin-coffee-x-kweichow-moutai-theme-store-opens-committed,https://www.reuters.com/business/retail-consumer/chinas-luckin-sells-54-mln-moutai-alcohol-infused-lattes-day-2023-09-05/,2026-09-05
C02,瑞幸,椰树,2022,中国,品牌×品牌／原料联名,椰云拿铁、椰树式高识别度包装,首周销量超过495万杯；瑞幸财报披露同名新品首周数据。,销售表现有据,A｜品牌/企业原始披露,上市首周,椰汁进入咖啡产品，既有口味搭配又有视觉辨识度。,不能把整个生椰拿铁产品线的多年销量归到这次联名。,联名单品后续留存、折扣后利润、椰树方收益,功能互补；视觉资产；产品线归因,https://investor.luckincoffee.com/news-releases/news-release-details/luckin-coffee-inc-announces-unaudited-first-quarter-2022,https://www.news.cn/food/20220506/f51e64bacb64413aa3d20e3db0a2e306/c.html,2026-09-05
C03,喜茶,FENDI,2023,中国,品牌×品牌／形象与体验,FENDI喜悦黄饮品、杯袋周边、展览茶室及烘焙,公开报道记录排队与部分售罄；联名单独利润未披露。,产品机制参考,B｜可靠媒体/行业机构报道,2023活动期,低门槛饮品把奢侈品牌视觉转为可携带、可拍照的体验入口。,喝过联名饮品不等于进入奢侈品购买人群；需检验真实品牌转移。,双方新增购买者、品牌提升、周边成本与利润,品牌资产；圈层；体验；转化,https://www.xinhuanet.com/fashion/20230518/583947debd73474dafad7ea82b66e93e/c.html,https://paper.people.com.cn/zgcsbwap/html/2023-05/29/content_25990154.htm,2026-09-05
C04,喜茶,《梦华录》,2022,中国,品牌×影视IP,剧集主题饮品与杯身视觉,报道援引喜茶小程序：首日近30万杯、7日超过140万杯。,销售表现有据,B｜可靠媒体/行业机构报道,上市7日,把观看剧集的情绪和茶饮消费场景接起来，降低理解成本。,剧热度窗口较短；不能把剧粉丝规模直接当作付费需求。,独立销售审计、增量毛利、非粉丝复购,时机；叙事；粉丝转化,https://paper.people.com.cn/zgcsbwap/html/2023-05/29/content_25990154.htm,,2026-09-05
C05,喜茶,《甄嬛传》,2022,中国,品牌×影视IP,剧集人物主题饮品、包装和周边,报道援引喜茶小程序：推出3日售出超过50万杯。,销售表现有据,B｜可靠媒体/行业机构报道,上市3日,可反复引用的人物关系与台词，为消费者提供社交表达素材。,怀旧热度与单次抢购不能替代长期留存证据。,利润、周边驱动订单占比、复购,文化语境；社交表达；留存,https://paper.people.com.cn/zgcsbwap/html/2023-05/29/content_25990154.htm,,2026-09-05
C06,喜茶,《原神》,2022,中国,品牌×游戏IP,角色主题茶饮、联名包装及赠品,报道援引喜茶小程序：联名推出一周销量超过100万杯。,销售表现有据,B｜可靠媒体/行业机构报道,上市一周,用角色关系与可收藏物，把线上喜爱转成线下消费。,必须区分购买饮品与购买赠品；赠品短缺可破坏核心体验。,每款角色需求分布、正常供货下的复购、项目利润,粉丝分层；赠品；门店履约,https://paper.people.com.cn/zgcsbwap/html/2023-05/29/content_25990154.htm,,2026-09-05
C07,茉莉奶白,《恋与深空》,2026年6月,中国,品牌×游戏IP,角色对应饮品、主题杯袋及收藏周边,2026年6月报道记录排队与周边抢购；长期效果尚无充分公开证据。,产品机制参考,C｜推广或转述口径,2026年6月首发报道,细分角色偏好使同一IP内部也存在不同需求，适合角色级备货研究。,推广稿数据不能直接当作独立审计；观察时间短。,去重买家、角色级库存、赠品驱动比例、联名结束后留存,粉丝画像；角色SKU；备货,https://m.36kr.com/p/3867222774469633,https://biz.ifeng.com/c/8uC3eRDenJL,2026-09-05
C08,UNIQLO,KAWS,2016起；2024、2025有后续,多市场,品牌×艺术家,UT服装、艺术图像商品与相关出版物,UNIQLO 2024回顾称已合作9个系列；2025宣布KAWS任驻留艺术家。,合作延续有据,A｜品牌/企业原始披露,截至2025年官方公布,稳定服装载体与可更新艺术资产，形成连续系列而非一次事件。,同一粉丝重复购买不等于持续拉新；不可直接套用艺术家影响力。,各期净新增客、艺术授权成本、系列盈利,系列化；文化资产；长期关系,https://www.uniqlo.com/jp/en/contents/lifewear-magazine/archives/24fw/hello-kaws/,https://www.fastretailing.com/eng/group/news/2509161100.html,2026-09-05
C09,H&M,Karl Lagerfeld,2004,多市场,品牌×设计师,Karl Lagerfeld for H&M限量成衣系列,当年系列快速售出；H&M在2024年回顾其为设计师联名起点。,销售表现有据,B｜可靠媒体/行业机构报道,2004首发；2024回顾,把稀缺设计师语言放进大众价格与零售渠道。,热销仍可能伴随合作方对数量、定位的分歧；供需与品牌边界须事先确定。,首批量、真实利润、双方满意度,价格架构；设计转译；治理,https://hmgroup.com/news/karl-lagerfeld-and-hm/,https://www.businessinsider.com/karl-lagerfeld-hm-collaboration-letdown-2019-2,2026-09-05
C10,H&M,Balmain,2015,多市场,品牌×品牌／设计师系列,Balmain风格服装和配饰系列,媒体记录上线迅速售罄，同时出现网站拥堵和抢购。,销售表现有据,B｜可靠媒体/行业机构报道,2015首发期,保留合作品牌高辨识度款式，让受众能看懂自己买到了什么。,秒空若无数量分母无法衡量规模；高热度需要系统与客服承接。,首批量、订单完成率、退款、联名利润,标志设计；稀缺；履约,https://fashionunited.com/news/retail/h-m-balmain-collaboration-sells-out-as-expected/201511058778,https://www.retaildive.com/news/balmain-x-hm-collection-ignites-a-frenzy-in-stores-online/408747/,2026-09-05
