id,name,category,summary,offers,needs,intent,audience,identity,constraints,characterSeed
"memory-block","Memory Block","Experimental design studio","Memory Block is a experimental design studio exploring new forms of collaboration.","Concept development, product design, visual direction and prototyping.","Small-batch manufacturing, material development and distribution.","Create experimental physical products and limited object collections.","Designers, collectors and creative professionals.","Experimental, playful, curious, independent.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","2693514593"
"form-works","Form Works","Small manufacturer","Form Works is a small manufacturer exploring new forms of collaboration.","Small-batch manufacturing, production engineering and prototyping.","Product design and visual direction.","Co-create experimental physical products and limited object collections.","Makers, designers and independent retailers.","Practical, curious, precise, independent.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","287157007"
"matter-matter","Matter Matter","Material lab","Matter Matter is a material lab exploring new forms of collaboration.","Material development, sustainable materials and material research.","Product design and prototyping.","Turn material research into experimental physical products.","Designers, makers and environmentally conscious consumers.","Experimental, curious, sustainable.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3405482987"
"still-studio","Still Studio","Experimental design studio","Still Studio is a experimental design studio exploring new forms of collaboration.","Concept development, product design, visual direction and prototyping.","Small-batch manufacturing, material development and distribution.","Create experimental physical products and limited object collections.","Designers, collectors and creative professionals.","Experimental, playful, curious, independent.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","2855152217"
"clay-county","Clay County","Traditional craft brand","Clay County is a traditional craft brand exploring new forms of collaboration.","Traditional craft, ceramics and cultural storytelling.","AI technology, digital interaction and distribution.","Build digital experiences and cultural exhibitions that reinterpret craft.","Collectors, culture lovers and craftspeople.","Traditional, careful, tactile, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3119025020"
"latent-lab","Latent Lab","AI technology company","Latent Lab is a ai technology company exploring new forms of collaboration.","AI technology, software development and digital interaction.","Traditional craft and cultural storytelling.","Build digital experiences and cultural exhibitions connecting craft with AI.","Technologists, digital creatives and curious learners.","Futuristic, experimental, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3507664498"
"fold-supply","Fold Supply","Packaging manufacturer","Fold Supply is a packaging manufacturer exploring new forms of collaboration.","Packaging, small-batch manufacturing and sustainable materials.","Product design and visual direction.","Create experimental physical products with reusable packaging.","Independent retailers, makers and designers.","Precise, sustainable, playful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","4060027271"
"common-objects","Common Objects","Furniture brand","Common Objects is a furniture brand exploring new forms of collaboration.","Small-batch manufacturing, furniture production and distribution.","Material development and product design.","Create limited physical products for everyday spaces.","Designers, home enthusiasts and collectors.","Tactile, warm, independent, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","963571182"
"circuit-house","Circuit House","Large consumer electronics brand","Circuit House is a large consumer electronics brand exploring new forms of collaboration.","Electronics, production engineering, manufacturing and distribution.","Product design, visual direction and cultural storytelling.","Prototype experimental physical products and playful digital experiences.","Technologists, designers and home enthusiasts.","Futuristic, playful, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","2526200180"
"open-room","Open Room","Retail space","Open Room is a retail space exploring new forms of collaboration.","Retail space, distribution and community building.","Product design, cultural storytelling and event production.","Host pop-up retail experiences and cultural exhibitions.","Designers, local communities and culture lovers.","Open, independent, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3930545450"
